Municipality,Total,latitude,longtitude,,,,,
Hobo,1389,,,,,,,
Ibague,24501,,,,,,,
Icononzo,5489,,,,,,,
Ipiales,9580,,,,,,,
Istmina,17498,,,,,,,
Itagui,12960,,,,,,,
Ituango,42189,,,,,,,
Jamundi,14795,,,,,,,
Jurado,6157,,,,,,,
La Gloria,7544,,,,,,,
La Paz,15397,,,,,,,
La Plata,6929,,,,,,,
La Tola,4940,,,,,,,
La Union,14478,,,,,,,
Maicao,16259,,,,,,,
Medellin,228953,,,,,,,
Medio Baudo,8580,,,,,,,
Mesetas,14737,,,,,,,
Miraflores,15561,,,,,,,
Miranda,9004,,,,,,,
Montecristo,28547,,,,,,,
Montelibano,45545,,,,,,,
Monteria,43794,,,,,,,
Morales,23701,,,,,,,
Mutata,45832,,,,,,,
Natagaima,12606,,,,,,,
Nechi,12260,,,,,,,
Necocli,47416,,,,,,,
Neiva,20553,,,,,,,
Nuqui,3595,,,,,,,
